Model,RMSE,MAE,R2,CV_R2_mean,CV_R2_std
CatBoost,184804.9470423606,124337.22600240841,0.7987111697427455,0.7891554636311099,0.025304736282928977
XGBoost,185802.2181137782,120990.6796875,0.7965328693389893,0.7772480726242066,0.028996509193442474
LightGBM,187763.5264413058,126988.06904154732,0.7922146341528212,0.7633197057112218,0.032107662009635204
Random Forest,191830.42936070685,126550.2499803666,0.7831160129458169,0.772553342072438,0.025641780613115565
Linear Regression,234447.75921141103,163834.12251784498,0.6760450180151352,0.6889443507621005,0.019531778183451323
Decision Tree,236841.84925991122,136581.34245808935,0.6693950304041527,0.6925185065916389,0.01322557644905636
